symbol,name,industry,price,marketCap,volume,dollarVolume,lastTradeDate,peRatio,forwardPE,pbRatio,psRatio,pegRatio,earningsYield,eps,epsGrowth,revenue,revenueGrowth,netIncome,netIncomeGrowth,netMargin,roe,roa,debtEquity,netDebtEquity,dividendYield,payoutRatio,beta,analystRating,analystCount,priceTarget,upsidePct,ch1y,price1m,price3m,price6m,priceYTD,week52High,week52Low,earningsDate,exDividendDate
COMI,Commercial International Bank Egypt (CIB) S.A.E.,Commercial Banks,132.5,451180000000.0,5456195,722945838,2026-09-15,6.81,5.9,1.89241,3.24203,0.47206,14.73,19.46,22.261,139170000000.0,24.412,66450000000.0,44.613,47.75,42.45,5.86,0.167,-0.784,4.26,33.48,0.57,Buy,11,180.26,36.05,51.04,139.27,134.76,122,103,145.01,86.345,"Nov 3, 2026","Apr 7, 2026"
SWDY,El Sewedy Electric Company,Drawing and Insulating of Nonferrous Wire,125.5,268490000000.0,472208,59262104,2026-09-15,16.47,15.87,3.53161,0.83755,,6.07,7.62,5.802,320560000000.0,26.627,16300000000.0,4.725,5.08,28.52,5.53,1.111,0.383,0.77,41.06,0.08,Sell,2,104.0,-17.13,67.53,107.53,86.37,79.03,78.25,139.7,62.03,"Nov 12, 2026","Jun 2, 2026"
ETEL,Telecom Egypt Company,"Telephone Communications, Except Radiotelephone",132,225330000000.0,2761210,364479720,2026-09-15,9.02,7.47,3.05884,1.95161,0.39293,11.21,14.8,107.677,115460000000.0,22.366,25270000000.0,94.755,21.89,43.37,9.49,0.989,0.88,1.29,9.33,0.71,Buy,4,127.8,-3.18,181.09,114,90.69,84.65,65.77,135.4,45.9,"Nov 12, 2026","Apr 28, 2026"
TMGH,Talaat Moustafa Group Holding,"Investors, not elsewhere classified",95.94,197700000000.0,1707029,163772362,2026-09-15,12.79,9.46,1.18154,2.89477,,7.82,7.5,15.519,68300000000.0,36.488,15450000000.0,17.934,22.62,13.31,2.98,0.441,0.035,0.26,2.08,0.34,Strong Buy,4,141.9,47.9,78.0,97.8,95.68,78,80,103.87,52.91,"Nov 15, 2026","May 19, 2026"
EGAL,Egypt Aluminum,Primary Production of Aluminum,362.57,149560000000.0,135635,49177182,2026-09-15,13.93,10.13,5.18432,3.12551,,7.18,26.03,-23.248,47850000000.0,12.81,10740000000.0,-23.248,22.45,42.17,24.02,0.003,-0.405,2.1,32.44,-0.26,Hold,2,345.5,-4.71,133.92,332.52,313.21,309,235.5,395,151,"Sep 22, 2026","Oct 14, 2025"
MFPC,Misr Fertilizer Production Company,Agricultural Chemicals,46.5,133370000000.0,1636046,76076139,2026-09-15,8.67,7.72,2.96254,3.95562,,11.53,5.36,705.367,33720000000.0,46.245,15380000000.0,43.334,45.61,35.21,13.54,0.003,-0.24,5.49,61.51,0.08,Buy,3,46.77,0.58,71.46,39.91,38.42,44.5,30.5,52,26.7,"Nov 29, 2026","May 4, 2026"
QNBE,Qatar National Bank,Commercial Banks,56.5,121750000000.0,162782,9197183,2026-09-15,4.22,3.66,0.96233,2.07528,,23.7,13.39,13.667,58670000000.0,19.689,28860000000.0,20.814,49.19,29.55,3.49,0.037,-1.658,3.42,21.96,0.14,Strong Buy,5,67.43,19.35,95.23,59.15,52.5,39.99,46.36,63,28.83,"Oct 7, 2026","Mar 10, 2026"
HDBK,Housing and Development Bank- Egypt (S.A.E),Commercial Banks,109,115820000000.0,282150,30754350,2026-09-15,5.82,5.85,2.47073,3.53118,,17.18,18.73,24.265,32799999999.999996,26.685,19900000000.0,24.265,60.67,49.51,8.28,0.026,-0.361,2.16,32.66,-0.26,Buy,3,77.59,-28.82,249.14,87.45,70.995,57.01,44.83,124,30.755,"Nov 12, 2026","Apr 7, 2026"
ABUK,Abu Qir Fertilizers & Chemical Industries Company (S.A.E),Agricultural Chemicals,87.9,110920000000.0,598670,52623093,2026-09-15,13.43,7.8,4.77238,4.29949,,7.45,6.55,13.889,25800000000.0,20.667,8260000000.0,8.725,32.02,39.34,18.45,0.003,-0.834,6.49,75.62,0.19,Buy,3,88.97,1.22,62.63,77.9,72.75,88.06,51,95,45.18,"Oct 29, 2026","Apr 20, 2026"
EAST,Eastern Company S.A.E,Tobacco Products,33.22,99660000000.0,1677537,55727779,2026-09-15,10.74,8.4,7.52238,2.40181,,9.31,3.09,-13.254,41490000000.0,33.934,9280000000.0,-11.063,22.37,80.62,15.58,1.738,0.288,7.97,54.07,0.13,Strong Buy,2,52.2,57.13,-12.58,36.26,38.23,37.11,37.1,49.99,33.04,"Sep 21, 2026","May 21, 2026"
ORAS,Orascom Construction PLC,Building Construction General Contractors and Operative Builders,845.12,94870000000.0,86869,73414729,2026-09-15,8.49,6.94,1.80212,0.3035,,12.34,101.38,68.071,298320000000.0,62.637,11170000000.0,68.071,3.74,27.48,4.07,0.521,-0.818,,12.14,,n/a,,,,101.7,742.5,768.01,473.5,430,890,395,"Nov 13, 2026",n/a
ALCN,Alexandria Container&Cargo Handling Company,Water Transportation,30.93,92160000000.0,351641,10876256,2026-09-15,12.88,,11.37287,12.02489,,7.76,2.4,20.829,7660000000.0,-8.43,7150000000.0,8.956,93.34,,,0.004,-0.672,5.47,,-0.36,Hold,2,28.55,-7.69,47.92,31.9,29.1,31.7,24.48,34.7,20.5,"Sep 22, 2026","May 12, 2026"
EFIH,e-finance for Digital and Financial Investments S.A.E.,Computer Processing and Data Preparation and Processing Services,23.52,81080000000.0,1594517,37503040,2026-09-15,34.35,22.54,8.02833,10.50449,,2.93,0.68,39.221,7720000000.0,25.378,2370000000.0,47.454,30.7,36.22,17.18,0.021,-0.302,1.26,55.38,0.65,Buy,4,28.1,19.47,86.37,24.21,21.1,18.95,18.49,25.4,11.9,"Nov 12, 2026","Jun 25, 2026"
ADIB,Abu Dhabi Islamic Bank - Egypt - S.A.E,Commercial Banks,52.09,78140000000.0,896275,46686965,2026-09-15,5.46,5.14,1.79157,3.0357,0.33164,17.79,9.54,-0.367,25740000000.0,37.498,13900000000.0,30.389,54.0,38.8,3.91,0.245,-0.895,,10.45,0.72,Strong Buy,5,61.88,18.79,151.04,54.85,45.8,39.05,29.9,55.65,20.17,"Nov 2, 2026",n/a
EMFD,Emaar Misr for Development Company (S.A.E.),"Land Subdividers and Developers, Except Cemeteries",14.02,76370000000.0,2267396,31788892,2026-09-15,11.5,,1.06308,3.55837,,8.65,1.22,-44.612,21460000000.0,-5.962,6610000000.0,-38.438,30.8,10.53,2.12,0.052,-0.529,,,0.52,n/a,,,,65.33,11.74,12,9.16,9.7,15.3,7.95,"Nov 18, 2026",n/a
FWRY,Fawry for Banking Technology and Electronic Payments S.A.E.,Computer Processing and Data Preparation and Processing Services,18.9,64379999999.99999,4185270,79101603,2026-09-15,22.35,18.54,6.87314,6.36943,0.51492,4.47,0.85,43.305,10110000000.0,44.884,2880000000.0,45.517,28.49,44.77,11.19,0.485,-0.677,,13.8,1.2,Strong Buy,5,23.94,26.67,37.96,19.01,18.4,17.37,16.12,21.66,13.09,"Nov 12, 2026",n/a
SCTS,Suez Canal Company for Technology Settling (S.A.E),Educational Services,605.87,55070000000.0,2924,1771564,2026-09-15,27.27,,13.92697,18.00464,,3.67,22.22,12.976,3060000000.0,17.725,2020000000.0,13.171,66.01,51.04,22.61,0.001,-1.065,1.99,53.38,0.61,n/a,,,,210.8,617.71,609.76,269.85,293.12,829.02,179,"Oct 26, 2026","Jun 25, 2026"
ORHD,Orascom Development Egypt S.A.E.,Hotels and Motels,42.47,48010000000.0,1541154,65452810,2026-09-15,8.97,7.57,2.35399,1.70052,,11.15,4.73,-4.391,28230000000.0,22.154,5350000000.0,-4.391,18.95,30.56,7.38,0.583,0.093,0.9,8.12,0.5,Strong Buy,2,58.55,37.86,92.96,42.89,38,25.69,25.4,44,20.38,"Nov 12, 2026","Sep 23, 2025"
EFID,Edita Food Industries Company (S.A.E),Bakery Products,30.49,42350000000.0,2985315,91022254,2026-09-15,13.49,11.21,6.72381,1.77066,,7.44,2.26,30.258,23920000000.0,37.426,3150000000.0,88.978,13.17,62.13,18.95,0.989,0.158,2.81,47.16,0.47,Buy,4,37.7,23.65,88.79,32.7,28.69,28.4,27.5,34.94,15.21,"Nov 5, 2026","May 12, 2026"
GPPL,Golden Pyramids Plaza S.A.E.,Miscellaneous Amusement And Recreation,1.4,41900000000.0,,,2026-09-15,22.15,,1.14588,9.75243,,4.16,3.02,-16.293,4300000000.0,-4.483,1740000000.0,-24.791,40.47,3.08,1.21,0.648,0.534,,,0.18,n/a,,,,12.9,1.4,1.4,1.4,1.42,1.48,1.14,"Sep 17, 2026",n/a
CANA,Suez Canal Bank (S.A.E),Commercial Banks,41.71,41710000000.0,63932,2666604,2026-09-15,6.8,,1.8008,2.72995,,14.7,6.13,0.129,15280000000.0,33.738,6130000000.0,0.143,40.12,35.06,2.61,0.488,-3.056,0.47,,0.41,n/a,,,,164.07,42.77,35.71,26.429,24.427,44.7,14.573,"Nov 12, 2026",n/a
VLMR,Valmore Holding S.A.E.,"Investors, not elsewhere classified",0.666,40570000000.0,133441,88872,2026-09-15,7.2,5.12,1.43101,1.13218,,13.55,4.68,-13.984,35830000000.0,17.972,5500000000.0,-14.087,15.35,25.26,8.71,1.162,0.036,6.54,47.24,0.22,Strong Buy,4,1.21,81.68,-7.24,0.708,0.671,0.709,0.699,0.737,0.642,"Nov 15, 2026","Apr 27, 2026"
VLMRA,Valmore Holding S.A.E.,"Investors, not elsewhere classified",31.34,40570000000.0,746388,23391800,2026-09-15,7.38,5.04,,,,,4.68,-13.984,35830000000.0,17.972,5500000000.0,-14.087,15.35,,,,,7.27,47.24,,n/a,,,,29.08,31.11,27.21,31.7,24.22,35.3,22.7,"Nov 15, 2026","Apr 27, 2026"
JUFO,Juhayna Food Industries S.A.E.,Dairy Products,27,39720000000.0,506924.99999999994,13686975,2026-09-15,17.79,15.9,4.54305,1.18563,,5.62,1.52,9.63,33500000000.0,24.076,2230000000.0,23.255,6.66,31.01,13.64,0.971,0.809,0.71,30.0,0.23,Buy,5,29.32,8.59,59.68,27.2,24.384,21.44,20.224,28.8,16.256,"Nov 2, 2026","May 12, 2026"
PHDC,Palm Hills Developments S.A.E.,"Land Subdividers and Developers, Except Cemeteries",13.81,39010000000.0,7644281,105567521,2026-09-15,9.78,5.4,1.89038,0.97227,,10.35,1.41,1.814,40120000000.0,26.125,4040000000.0,1.088,10.07,22.17,2.73,1.71,0.692,0.67,,0.99,Strong Buy,4,17.46,26.43,88.66,15.29,15.71,8.68,8.61,16.43,6.99,"Nov 9, 2026",n/a
OCDI,"Sixth of October for Development and Investment Company ""SODIC"" (S.A.E.)",Real Estate,30,38680000000.0,2423866,72715980,2026-09-15,9.63,,2.31083,1.72186,,10.38,3.11,70.934,22460000000.0,111.961,4019999999.9999995,25.514,17.9,27.32,3.28,0.719,0.494,1.67,,0.27,n/a,,,,96.46,35.95,20.5,18.1,17.93,36.97,14.81,"Oct 26, 2026",n/a
HRHO,EFG Holding Company S.A.E,"Security and Commodity Brokers, Dealers, Exchanges, and Services",25.28,36300000000.0,5655944,142982264,2026-09-15,9.32,7.47,0.78529,1.29318,,10.64,2.71,7.334,28070000000.0,25.579,3860000000.0,5.58,13.75,14.37,2.69,1.266,-0.711,1.08,35.85,0.38,Strong Buy,3,36.69,45.13,-0.86,26.66,26.69,25.91,24.92,31.5,24.18,"Nov 15, 2026","Jun 25, 2026"
GBCO,GB Corp,Motor Vehicles and Passenger Car Bodies,30.2,32780000000.0,1835419,55429654,2026-09-15,13.38,12.85,0.93322,0.35305,,7.47,2.26,-29.13,92850000000.0,31.45,2450000000.0,-30.489,2.64,6.94,4.75,1.333,1.021,1.21,18.61,0.62,Buy,5,38.14,26.29,27.97,31.5,28.4,25.26,27,34.2,19.1,"Nov 12, 2026","Apr 27, 2026"
