symbol,name,industry,score,scoreValue,scoreQuality,scoreGrowth,scoreSafety,scoreBonus,dataCoverage,price,peRatio,pbRatio,roe,netMargin,revenueGrowth,netIncomeGrowth,debtEquity,dividendYield,dollarVolume,analystRating,priceTarget,upsidePct,lastTradeDate
ARCC,Arabian Cement Company S.A.E.,"Cement, Hydraulic",81.3,59.3,89.3,87.2,61.4,5.7,4/4,72.11,6.96,7.67577,122.38,30.64,37.901,147.354,0.354,4.0,31704315,Buy,77.6,7.61,2026-08-20
MFPC,Misr Fertilizer Production Company,Agricultural Chemicals,79.4,67.5,73.2,71.3,85.0,6.7,4/4,39.3,7.33,2.1233,27.18,45.61,35.317,33.824,0.003,6.43,62792479,Buy,43.37,10.36,2026-08-20
HDBK,Housing and Development Bank- Egypt (S.A.E),Commercial Banks,79.3,74.2,80.6,67.5,87.4,2.9,4/4,92.42,4.78,2.02872,49.51,60.67,26.685,24.265,0.026,2.79,24113672,Strong Buy,72.5,-21.55,2026-08-20
AXPH,Alexandria Co. For Pharmaceuticals & Chemical Industries,Pharmaceutical Preparations,77.0,52.2,78.0,71.8,80.2,7.9,4/4,1442.39,13.63,6.26407,49.3,15.99,24.945,43.306,0.006,4.63,49743704,n/a,,,2026-08-20
MBSC,Misr Beni Suef Cement Co. S.A.E,"Cement, Hydraulic",76.8,63.0,94.3,72.5,51.1,3.9,4/4,373,5.5,4.09975,121.85,57.48,12.664,171.572,,1.62,48092382,Buy,384.35,3.04,2026-08-20
MCQE,Misr Cement (Qena) Company (S.A.E),"Cement, Hydraulic",75.9,62.6,87.0,89.4,51.1,1.0,4/4,222,8.27,4.78532,87.84,24.51,42.917,222.126,0.065,0.45,31436310,Hold,194.95,-12.18,2026-08-20
QNBE,Qatar National Bank,Commercial Banks,75.3,85.1,61.1,56.9,75.1,5.9,4/4,59.57,4.45,1.01462,29.55,49.19,19.689,20.814,0.037,3.36,6491224,Strong Buy,67.43,13.19,2026-08-20
ETRS,Egyptian Transport & Commercial Services Co. -EGYTRANS NOSCO,Water Transportation,75.1,68.7,51.1,91.9,73.7,5.1,4/4,10.94,12.62,2.23409,22.45,12.55,50.257,198.667,0.13,2.19,20575055,n/a,,,2026-08-20
EXPA,Export Development Bank of Egypt (S.A.E.),Commercial Banks,75.0,88.2,63.2,78.0,67.0,0,4/4,20.21,3.78,1.0752,32.48,48.3,40.493,37.789,0.082,,68225666,n/a,,,2026-08-20
ABUK,Abu Qir Fertilizers & Chemical Industries Company (S.A.E),Agricultural Chemicals,73.7,52.1,81.5,56.3,78.2,7.9,4/4,75.52,11.61,4.12629,39.34,32.02,20.667,8.725,0.003,7.73,75318437,Buy,88.97,17.81,2026-08-20
EAST,Eastern Company S.A.E,Tobacco Products,73.2,52.7,80.5,58.7,63.4,9.1,4/4,36.02,12.04,5.7267,72.23,22.49,56.592,1.571,0.351,7.92,24798725,Strong Buy,51.23,42.23,2026-08-20
COMI,Commercial International Bank Egypt (CIB) S.A.E.,Commercial Banks,71.4,60.7,73.9,68.6,41.2,7.7,4/4,137,6.99,1.9424,42.45,47.75,24.412,44.613,0.167,4.33,644588151,Buy,180.53,31.77,2026-08-20
MCRO,Macro Group Pharmaceuticals (Macro Capital) S.A.E,"Perfumes, Cosmetics, and Other Toilet Preparations",71.4,71.6,71.8,90.8,37.6,0,4/4,1.52,7.6,4.46943,85.15,12.94,72.038,,1.719,,100454900,n/a,,,2026-08-20
