symbol,date,price,trend,rsi,macdSignal,ma20,ma50,ma200,vsMa50Pct,vsMa200Pct,support,resistance,stopLoss,riskPct,high52,low52,fromHigh52Pct,atr,atrPct,volumeRatio
ARCC,2026-08-13,74.2,صاعد قوي,80.8,صاعد,60.14,57.71,52.24,28.6,42.0,57.98,,56.82,23.4,76.44,36.85,-2.9,4.17,5.62,4.56
MBSC,2026-08-13,381.52,صاعد قوي,93.0,صاعد,263.01,256.76,250.6,48.6,52.2,292.55,,286.7,24.9,381.52,148.14,0.0,16.94,4.44,3.9
HDBK,2026-08-13,87.45,صاعد قوي,70.0,صاعد,83.22,79.4,60.34,10.1,44.9,76.93,,75.39,13.8,87.45,30.7,0.0,1.72,1.97,0.64
MFPC,2026-08-13,39.91,صاعد قوي,66.6,صاعد,37.38,37.74,36.09,5.7,10.6,39.22,41.09,38.43,3.7,50.5,26.71,-21.0,0.74,1.86,1.11
QNBE,2026-08-13,59.15,صاعد قوي,71.5,صاعد,56.27,54.53,46.09,8.5,28.3,55.03,59.7,53.93,8.8,59.7,28.88,-0.9,1.46,2.46,1.86
ETRS,2026-08-13,10.91,صاعد قوي,61.2,هابط,10.72,10.41,8.09,4.8,34.9,8.3,11.3,8.13,25.5,11.3,5.63,-3.5,0.22,2.0,0.47
MCQE,2026-08-13,248.11,صاعد قوي,78.2,صاعد,197.02,186.08,166.85,33.3,48.7,203.0,,198.94,19.8,259.5,70,-4.4,13.88,5.59,4.02
EXPA,2026-08-13,21.3,صاعد قوي,72.4,صاعد,20.27,19.27,17.15,10.5,24.2,17.5,,17.15,19.5,21.3,13.44,0.0,0.49,2.29,0.92
ABUK,2026-08-13,77.9,صاعد قوي,65.7,صاعد,73.4,73.05,67.49,6.6,15.4,75.0,84.62,73.5,5.6,94,45.37,-17.1,1.61,2.07,0.75
EAST,2026-08-13,36.26,هابط قوي,43.4,صاعد,36.61,37.44,39.73,-3.2,-8.7,31.84,39.65,31.2,14.0,49.49,34.85,-26.7,0.58,1.59,0.56
